aptCode,aptName,dongCode,dongName,buildYear,jibun,lat,lng,img,avgDealAmount,totalDealCount
4789,신반포20,1165010600,잠원동,1983,60-78,37.5101816,127.0117842,NULL,244000,1
4790,중앙하이츠,1165010600,잠원동,1998,71-17,37.5101361,127.0047584,NULL,161500,2
4791,덕동반포빌라트,1165010700,반포동,2005,79-1,37.4965426,127.0003372,NULL,124000,1
4792,다우탑스빌라트,1165010700,반포동,1997,50-2,37.5003828,127.0108265,NULL,105500,2
4793,반포서래빌,1165010700,반포동,2003,87-7,37.4950195,126.9990265,NULL,120000,1
4794,신성리더스카운티,1165010700,반포동,2003,50-8,37.5007027,127.0111491,NULL,120000,1
4795,"반포 샤인힐 4차",1165010700,반포동,2003,82-19,37.4947551,127.0006777,NULL,145000,1
4796,월드메르디앙A,1165010800,서초동,2002,1634-9,37.4920198,127.0220348,NULL,150000,1
4797,신동아아파트(2차),1165010800,서초동,1979,1334-1,37.4906059,127.0269281,NULL,218650,2
4798,장미아파트,1165010800,서초동,2001,1364-51,37.485081,127.031361,NULL,74700,1
4799,서초프레스턴,1165010800,서초동,2005,1506-46,37.4881224,127.0070882,NULL,206000,1
4800,대경벨로체,1165010800,서초동,2007,1484-7,37.4826738,127.0106337,NULL,73500,1
4801,월드메르디앙B,1165010800,서초동,2002,1633-1,37.4916141,127.0222278,NULL,148000,1
4802,상지리츠빌(6),1165010800,서초동,2004,1491-31,37.4835649,127.0027026,NULL,160000,1
4803,파인빌리지,1165010100,방배동,2001,843-1,37.4922517,126.9950241,NULL,195000,1
4804,래미안방배에버뉴,1165010100,방배동,1977,775-1,37.494048,126.9884229,NULL,173000,1
4805,리벨루스(804-1),1165010100,방배동,2003,804-1,37.4931144,126.9943284,NULL,115000,1
4806,방배힐1차,1165010100,방배동,2000,806-1,37.4928084,126.9929947,NULL,148500,1
4807,삼환나띠르빌(1002-8),1165010100,방배동,2003,1002-8,37.4804342,127.0053142,NULL,127000,1
4808,방배동동양파라곤,1165010100,방배동,2004,992-8,37.4804861,127.0026067,NULL,129000,1
4809,방배씨티(보성),1165010100,방배동,2000,836-1,37.4906495,126.9910968,NULL,64000,2
4810,신구드림하우스,1165010100,방배동,1997,963-16,37.4841613,126.9907046,NULL,265000,1
4811,렉스빌,1165010100,방배동,2002,847-25,37.4912835,126.9964415,NULL,220000,1
4812,롯데캐슬파크(40),1165010100,방배동,2003,888-40,37.4859366,126.9996248,NULL,239000,1
4813,현대쉴러하우스,1165010100,방배동,2008,853-19,37.4886642,126.9919003,NULL,101000,1
4814,월드빌,1165010200,양재동,2002,20-18,37.4793099,127.039212,NULL,60000,1
4815,블루하이츠,1165010200,양재동,2000,379-3,37.471295,127.0462153,NULL,71000,1
4816,리치스,1165010200,양재동,2001,391-12,37.4714332,127.0470388,NULL,67500,1
4817,잠원아이비,1165010600,잠원동,2005,34-1,37.5116492,127.016502,NULL,96000,1
4818,현대실크빌,1165010600,잠원동,1999,62-6,37.5124094,127.0097844,NULL,210000,1
4819,"래미안 신반포 리오센트",1165010600,잠원동,2019,161,37.514847,127.0143281,NULL,331333,3
4820,그린피아,1165010700,반포동,2003,47-4,37.4985215,127.0097744,NULL,59000,1
4821,삼성에이스빌,1165010700,반포동,2002,726-16,37.5063794,127.0203556,NULL,69750,2
4822,테마하우스,1165010700,반포동,2001,95-1,37.49849529999999,126.9979147,NULL,112500,1
4823,산호아파트,1165010700,반포동,2001,741-5,37.5045144,127.0210201,NULL,64600,2
4824,라인,1165010700,반포동,1995,70,37.4989397,126.999845,NULL,104000,1
4825,보아스힐(701-4),1165010700,반포동,2006,701-4,37.5091475,127.0172191,NULL,90000,1
4826,신원아침도시(1434),1165010800,서초동,2004,1434-2,37.484451,127.0236746,NULL,104000,1
4827,로얄스위트서초빌라,1165010800,서초동,2005,1492-4,37.4846909,127.0035175,NULL,131000,1
4828,월드메르디앙(오페라),1165010800,서초동,2004,1450-1,37.4813557,127.0139968,NULL,160000,1
4829,서초3차e편한세상,1165010800,서초동,2005,1467-37,37.4786963,127.0074854,NULL,180000,1
4830,상지리츠빌(1617-13),1165010800,서초동,2004,1617-13,37.48781280000001,127.0222547,NULL,130000,1
4831,서초로얄,1165010800,서초동,2001,1627-3,37.4886106,127.0173051,NULL,59900,1
4832,햄프턴코트,1165010800,서초동,2004,1428-1,37.4840107,127.0200157,NULL,120833,3
4833,샹보르,1165010800,서초동,2002,1609-1,37.4900379,127.0228488,NULL,150000,1
4834,상지리츠빌(5),1165010800,서초동,2004,1491-14,37.4833107,127.0027975,NULL,171000,1
4835,연우,1165010800,서초동,2015,1487-115,37.4813888,127.0055785,NULL,79500,1
4836,상지리츠빌(4),1165010800,서초동,2004,1490-36,37.4829206,127.0025879,NULL,155500,1
4837,서초금호어울림,1165010800,서초동,2001,1467-97,37.47859,127.0068536,NULL,152000,1
4838,장복엘리트타운,1165010800,서초동,1993,1517-1,37.4858763,127.0048655,NULL,110000,1
4839,레미안서초6차(1520-9),1165010800,서초동,2006,1520-9,37.4856462,127.006966,NULL,135000,1
4840,마샹스(2차),1165010800,서초동,2003,1487-144,37.4804772,127.0066851,NULL,77000,1
4841,뉴캐슬,1165010100,방배동,2004,971-1,37.4808964,126.9881243,NULL,75000,1
4842,상록리츠콤(878-16),1165010100,방배동,2003,878-16,37.4896323,126.995862,NULL,110500,1
4843,시그마,1165010200,양재동,2002,302,37.4745851,127.0450237,NULL,63800,1
